CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,NAME,DESCRIPTN,ADDRESS,ALIAS_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,FACEBOOK,PRODUCT_ID,PROD_GRP,TRSM_AREA,TWITTER,SHAPE,SEQ_ID,X,Y
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1243,100 Mile House Visitor Centre,Visitor Services ;,"155 Airport Rd., 100 Mile House, BC","155 Airport Rd., 100 Mile House, BC",155 Airport Rd.,V0K2E0,100 Mile House,,,,www.SouthCaribooTourism.com,,51.641926,-121.300821,,20181201072718,, ,4548084,Activity / Attraction,Cariboo Chilcotin Coast, ,,3621,1324537.5749999997,747371.9759999979
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1244,3 Valley Gap Heritage Ghost Town,Historic & Heritage Sites ;,"Trans Canada Hwy 1, Revelstoke, BC","Trans Canada Hwy 1, Revelstoke, BC",Trans Canada Hwy 1,V0E2S0,Revelstoke,,,,,,50.9338214,-118.4472942,Museums ; Train ; ,20181201072717,,https://www.facebook.com/3ValleyGap,4553191,Activity / Attraction,Kootenay Rockies,https://twitter.com/threevalleygap,,2809,1529403.1039999994,685981.4170000004
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1245,40 Knots Vineyard & Estate Winery,Wineries ;,"2400 Anderton Rd, Comox, BC",2400 Anderton Rd,2400 Anderton Rd,V9M4E5,Comox,,,,www.40knotswinery.com,,49.7378036,-124.9330078,Farms & Orchards ; ,20181201072715,,https://www.facebook.com/40KnotsWinery,4587542,Activity / Attraction,Vancouver Island,https://twitter.com/40KnotsWinery,,1607,1076935.3829999988,525205.156000006
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1246,49 North Helicopters,Flightseeing Tours ;,"2000 Jubilee Parkway, Campbell River, BC",2000 Jubilee Parkway,2000 Jubilee Parkway,V9H1T5,Campbell River,,,,www.49northhelicopters.com,,49.951132,-125.2673564,Airlines & Charters ; Wildlife Viewing - Whale Watching ; Fishing - Saltwater ; ,20181201072716,,http://www.facebook.com/49northhelicopters,4608612,Activity / Attraction,Vancouver Island, ,,1741,1052582.7479999997,548620.7220000001
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1247,50North Adventures,Cruises & Boat Tours ;,"Discovery Harbour Marina, Campbell River, BC",1622 Passage View Drive,Discovery Harbour Marina,V9W6L3,Campbell River,,,,www.50northadventures.com,,50.033031,-125.2434808,Fishing - Saltwater ; Sightseeing Tours ; Wildlife Viewing - Whale Watching ; ,20181201072718,,https://www.facebook.com/50northadventures/,4610023,Activity / Attraction,Vancouver Island, ,,3475,1054198.9189999995,557747.6840000022
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1248,50th Parallel Estate,Wineries ;,"17101 Terrace View Rd, Lake Country, BC",17101 Terrace View Rd,17101 Terrace View Rd,V4V1B7,Lake Country,,,,www.50thparallel.com,,50.1284166,-119.4485929,,20181201072716,,https://www.facebook.com/50thParallelEstate,4583059,Activity / Attraction,Thompson Okanagan,http://twitter.com/@50thparallelwin,,2193,1467717.7820000006,589726.7299999986
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1249,8th Generation Vineyard,Wineries ;,"6807 Hwy 97, Summerland, BC",1675 Midland Rd,6807 Hwy 97,V0H1Z9,Summerland,,,,www.8thgenerationvineyard.com,,49.5774848,-119.6337549,Wine Tours ; Farms & Orchards ; ,20181201072716,, ,4566176,Activity / Attraction,Thompson Okanagan,http://twitter.com/8th_Generation,,1985,1460037.1580000008,527501.0089999977
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1250,A 3-Hour Sail,Boating - Sailing ;,"Empress Dock 'A', Victoria, BC","Empress Dock 'A', Victoria, BC",Empress Dock 'A',V9R4W6,Victoria,,,,www.3-hoursail.com,,48.4220002,-123.3689862,Wildlife Viewing - Bird Watching ; Wildlife Viewing - Other ; Cruises & Boat Tours ; ,20181201072716,,http://www.facebook.com/pages/A-3-Hour-Sail/162887570433218,4544645,Activity / Attraction,Vancouver Island,http://twitter.com/TallShipTHANE,,1255,1195103.3350000002,382093.0779999988
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1251,A.E. Vancouver Private Tours & Charters Inc.,Tours - Sightseeing Tours ;,"875 Terminal Ave, Vancouver, BC",875 Terminal Avenue,875 Terminal Ave,V6A2M9,Vancouver,,,,www.vancouverprivatetours.com,,49.2701961,-123.0843092,Wine Tours ; Bus / Coach / Shuttle ; Shuttles ; ,20181201072716,, ,4542666,Activity / Attraction,Vancouver Coast and Mountains,http://twitter.com/yvrprivatetours,,1803,1212324.2569999988,477023.1730000032
Destination BC,artsEntertainmentAndRecreation,"Arts, entertainment and recreation",HelloBC Activities and Attractions Listing,1252,Abbotsford International Airport - YXX,Airports ;,"30440 Liberator Ave, Abbotsford, BC",30440 Liberator Ave,30440 Liberator Ave,V2T6H5,Abbotsford,,,,www.abbotsfordairport.ca,,49.0226294,-122.3804898,,20181201072717,, ,4590295,Transportation,Vancouver Coast and Mountains,https://twitter.com/yxxairport,,2823,1264942.5169999998,451921.9430000046
